#separator:comma
#html:true
#notetype:Basic
#deck:DOM08::Project 6 Tools
#tags column:3
#columns:Front,Back,Tags
"What problem does Prometheus solve in Project 6?","<b>Purpose:</b> Prometheus scrapes and stores time-series metrics from the application, Node Exporter, and itself.<br><b>Why chosen:</b> It supports the lab's RPS, p95 latency, 5xx percentage, target-health, and alert queries with PromQL.<br><b>Instead of:</b> CloudWatch Metrics alone, which would not exercise the required Prometheus scrape-and-query workflow.<br><b>Trade-off:</b> I must operate and secure the Prometheus service and its storage.","dom08 project6 status::planned category::monitoring tool::prometheus comparison::cloudwatch"
"Why does Project 6 choose Grafana instead of only CloudWatch dashboards?","<b>Purpose:</b> Grafana visualizes RPS, p95 latency, 5xx percentage, CPU, memory, disk, and target health.<br><b>Why chosen:</b> The lab requires a provisioned, version-controlled dashboard JSON and Grafana alerting connected to Prometheus.<br><b>Instead of:</b> CloudWatch dashboards alone, which would bypass the required Prometheus/Grafana learning objective.<br><b>Trade-off:</b> Grafana adds a service, persistent data, access control, TLS, and patching responsibilities.","dom08 project6 status::planned category::monitoring tool::grafana comparison::cloudwatch"
"Why use Node Exporter instead of adding host metrics to the Node.js application?","<b>Purpose:</b> Node Exporter exposes standard Linux host metrics such as CPU, memory, filesystem, and load.<br><b>Why chosen:</b> It separates host telemetry from application code and supplies established metric names understood by Prometheus dashboards.<br><b>Instead of:</b> Custom application code for operating-system metrics, which would be incomplete and harder to maintain.<br><b>Trade-off:</b> It needs carefully limited read-only host access and must never be publicly exposed.","dom08 project6 status::planned category::monitoring tool::node_exporter concept::host_metrics"
"Why use a supported Prometheus client library rather than hand-writing the /metrics response?","<b>Purpose:</b> A Prometheus client creates counters, histograms, process metrics, and valid exposition output.<br><b>Why chosen:</b> It reduces format mistakes and handles metric collection consistently.<br><b>Instead of:</b> Manually concatenating metric text, which is easy to make invalid and difficult to test.<br><b>Trade-off:</b> The dependency must be locked, maintained, and configured to avoid high-cardinality labels.","dom08 project6 status::planned category::application tool::prometheus_client concept::metrics"
"Why does the lab use promtool in addition to a YAML parser?","<b>Purpose:</b> promtool validates Prometheus configuration and alert rules using Prometheus semantics.<br><b>Why chosen:</b> Valid YAML can still contain invalid Prometheus fields or PromQL expressions.<br><b>Instead of:</b> YAML linting alone, which checks syntax but not whether Prometheus can load the configuration.<br><b>Trade-off:</b> The promtool version must match the pinned Prometheus version.","dom08 project6 status::planned category::validation tool::promtool comparison::yaml_lint"
"Why use CloudWatch Logs instead of self-hosting Loki or the ELK stack?","<b>Purpose:</b> CloudWatch Logs centralizes application, container, and selected system logs with searchable retention.<br><b>Why chosen:</b> It is the AWS-native logging objective, supports encryption and retention controls, and avoids another logging cluster.<br><b>Instead of:</b> Loki or ELK, which the plan explicitly keeps out of scope for this lab.<br><b>Trade-off:</b> Ingestion, storage, and query costs must be monitored.","dom08 project6 status::planned category::logging tool::cloudwatch_logs comparison::loki comparison::elk"
"Why use the CloudWatch Agent when Docker already sends container logs?","<b>Purpose:</b> The CloudWatch Agent collects selected AL2023 system, journal, and agent-health logs.<br><b>Why chosen:</b> Docker's log driver covers container stdout/stderr but not all required host-level evidence.<br><b>Instead of:</b> Relying only on container logs and missing operating-system context.<br><b>Trade-off:</b> The agent needs a narrowly scoped IAM role and an explicit collection configuration.","dom08 project6 status::planned category::logging tool::cloudwatch_agent comparison::docker_logs"
"Why use Docker's awslogs driver for application containers?","<b>Purpose:</b> The awslogs driver sends container stdout/stderr directly to pre-created CloudWatch log groups and stable streams.<br><b>Why chosen:</b> It preserves centralized logging across candidate, active, and rollback containers without mounting local log files.<br><b>Instead of:</b> Keeping logs only on the EC2 filesystem, where they are harder to search and may disappear with the host.<br><b>Trade-off:</b> Log-group names, IAM permissions, buffering, and delivery failures must be verified.","dom08 project6 status::planned category::logging tool::docker_awslogs concept::centralized_logging"
"What is CloudWatch Logs Insights used for in this lab?","<b>Purpose:</b> Logs Insights searches and correlates fresh application and system events in centralized log groups.<br><b>Why chosen:</b> It gives timestamped query evidence without deploying a separate query engine.<br><b>Instead of:</b> SSHing to hosts and grepping local files, which is not centralized and is weaker evidence.<br><b>Trade-off:</b> Queries are billed by data scanned, so time ranges and fields should stay narrow.","dom08 project6 status::planned category::logging tool::cloudwatch_logs_insights comparison::grep"
"Why use CloudTrail when CloudWatch Logs already stores logs?","<b>Purpose:</b> CloudTrail records AWS management activity: who or what called an AWS API, when, and against which service.<br><b>Why chosen:</b> Application and host logs cannot prove account-level control-plane activity.<br><b>Instead of:</b> Treating CloudWatch application logs as an audit trail.<br><b>Trade-off:</b> Delivery, validation, encryption, lifecycle, and ownership must be managed and verified.","dom08 project6 status::planned category::audit tool::cloudtrail comparison::cloudwatch_logs"
"Why does the plan select a multi-Region CloudTrail with global service events?","<b>Purpose:</b> A multi-Region trail captures management activity across AWS Regions and relevant global services.<br><b>Why chosen:</b> It reduces audit blind spots if activity occurs outside eu-north-1.<br><b>Instead of:</b> A single-Region trail that may miss cross-Region actions.<br><b>Trade-off:</b> More events can increase S3 storage and optional logging costs.","dom08 project6 status::planned category::audit tool::cloudtrail concept::multi_region"
"Why archive CloudTrail logs in S3 instead of keeping only short-retention operational logs?","<b>Purpose:</b> S3 provides a durable audit archive with versioning, public-access blocking, TLS-only access, and lifecycle rules.<br><b>Why chosen:</b> Audit evidence has a different retention and integrity need from 14-day operational logs.<br><b>Instead of:</b> Keeping all evidence only in short-lived CloudWatch log groups.<br><b>Trade-off:</b> Bucket policy, lifecycle, ownership, and safe cleanup require careful control.","dom08 project6 status::planned category::audit tool::s3 comparison::cloudwatch_retention"
"Why use KMS for the CloudTrail archive?","<b>Purpose:</b> KMS encrypts CloudTrail objects with an auditable key policy and rotation controls.<br><b>Why chosen:</b> The plan needs explicit least-privilege encryption controls and evidence, including SourceArn/SourceAccount restrictions where supported.<br><b>Instead of:</b> Relying only on broader default encryption without a lab-specific access policy.<br><b>Trade-off:</b> A bad key policy can block CloudTrail delivery, and KMS has request costs.","dom08 project6 status::planned category::security tool::kms concept::encryption"
"Why use S3 lifecycle tiers for CloudTrail data?","<b>Purpose:</b> Lifecycle rules move current objects to Standard-IA after 30 days, Glacier after 90 days, and expire them after 365 days.<br><b>Why chosen:</b> Older audit data is accessed less often, so tiering balances retention with cost.<br><b>Instead of:</b> Leaving every object in the standard tier forever or deleting evidence too early.<br><b>Trade-off:</b> Archive retrieval is slower and may incur retrieval or minimum-storage charges.","dom08 project6 status::planned category::cost tool::s3_lifecycle concept::retention"
"Why use GuardDuty instead of building custom threat-detection queries for this lab?","<b>Purpose:</b> GuardDuty is AWS managed threat detection that analyzes supported AWS telemetry and produces findings.<br><b>Why chosen:</b> It satisfies the threat-detection objective without building and operating a custom SIEM pipeline.<br><b>Instead of:</b> Manually correlating raw logs or deploying a separate SIEM.<br><b>Trade-off:</b> It is regional, can add cost, and optional paid protections require a separate decision.","dom08 project6 status::planned category::security tool::guardduty comparison::siem"
"Why generate a GuardDuty sample finding instead of simulating a real attack?","<b>Purpose:</b> A supported sample proves that findings can be retrieved and interpreted.<br><b>Why chosen:</b> It is controlled, authorized, repeatable, and clearly synthetic.<br><b>Instead of:</b> Performing harmful activity or mislabeling a sample as a real incident.<br><b>Trade-off:</b> A sample proves the workflow, not that a real threat was detected.","dom08 project6 status::planned category::security tool::guardduty concept::sample_finding"
"Why use Terraform instead of creating Project 6 infrastructure manually in the AWS console?","<b>Purpose:</b> Terraform defines VPCs, instances, security controls, roles, logs, and related resources as reviewable code.<br><b>Why chosen:</b> The lab requires repeatability, ownership visibility, drift checks, and narrowly reviewed plans.<br><b>Instead of:</b> Console-only changes that are harder to reproduce and audit.<br><b>Trade-off:</b> State, provider versions, imports, and resource ownership must be handled carefully.","dom08 project6 status::planned category::iac tool::terraform comparison::aws_console"
"Why review an exact saved Terraform plan before apply?","<b>Purpose:</b> A saved plan freezes the exact proposed resource changes for approval.<br><b>Why chosen:</b> It exposes counts, replacements, deletions, cost impact, and ownership before mutation, then applies that exact artifact.<br><b>Instead of:</b> Running terraform apply and approving a newly generated plan interactively.<br><b>Trade-off:</b> Any relevant input or state change invalidates the plan and requires re-planning.","dom08 project6 status::planned category::iac tool::terraform concept::saved_plan"
